id,firstname,lastname,skills,endorsements,volunteer_experience,num_connections,location,causes_supported,industry,summary
44,lisa,walia,"Car Tune-Up, matlab, Critical Thinking","4, 6, 14",7,139,location,"cause1,cause2",industry,summary
45,himani,rai,"Hair Coloring, Optimization, Motivation, Teamwork, Cloud Based Visualizations","48, 49, 50, 13, 4",4,102,location,"cause1,cause2",industry,summary
46,akshay,arora,"Poise, Financial Service Recognition, Documentation, Documentation","3, 12, 11, 14",1,246,location,"cause1,cause2",industry,summary
47,sid,dangelo,"public speaking, Metrics, Interaction Design","11, 28, 39",7,469,location,"cause1,cause2",industry,summary
48,mia,arora,"Ingredient Selection, Integrating Security Protocols with Cloud Design, Technical, Baking, Control Labor Costs","16, 37, 17, 3, 18",2,180,location,"cause1,cause2",industry,summary
49,mia,sherawat,"Evaluating Processes, DevOps, Proposals","33, 29, 34",8,190,location,"cause1,cause2",industry,summary
50,himani,kapoor,"Data Tools, Handling Criticism Calmly, Monthly Closes","10, 19, 15",9,438,location,"cause1,cause2",industry,summary
51,akshay,arora,"Heat Control, Stocking, Flexibility, Numerical Competence","22, 1, 17, 39",5,107,location,"cause1,cause2",industry,summary
52,abhijeet,gandhi,"Confidence, Mathematical, Cloud Systems Administration, Scalp Treatment, Accounts Receivable","39, 30, 49, 32, 10",9,97,location,"cause1,cause2",industry,summary
53,himani,walia,"Reasoning, Business Sense, Editing, Decision Making, Cash Receipts","30, 11, 6, 10, 24",5,383,location,"cause1,cause2",industry,summary
54,abhijeet,rai,"Content Management Systems (CMS), Customer Service, Handling Criticism Calmly, Motivation","41, 50, 15, 42",5,208,location,"cause1,cause2",industry,summary
55,ashima,parker,"Direction, Aging Reports, Copy Editing, Decision Trees","40, 36, 49, 9",4,193,location,"cause1,cause2",industry,summary
56,himani,mehrotra,"Pitching Story Possibilities to Editors, Accounts Payable, Time Management, Research and Development Manager, Benchmarking","24, 44, 46, 18, 18",6,417,location,"cause1,cause2",industry,summary
57,nishant,nagpal,"Managing Full Application Stacks, Training, Retail Buyer","10, 16, 36",8,248,location,"cause1,cause2",industry,summary
58,tiffany,ann,"Research and Development Manager, Cross Sales of Service, Truck Driving, cloud","39, 37, 20, 12",4,119,location,"cause1,cause2",industry,summary
59,himani,rai,"Service Advising, Following Directions, Fixed Assets, Tax Software, Test Building Materials","46, 12, 13, 39, 33",7,200,location,"cause1,cause2",industry,summary
60,rohit,mehrotra,"Organization, Analytical, Project Management, Management","18, 47, 10, 20",9,84,location,"cause1,cause2",industry,summary
61,himani,singh,"Receptionist, Big Data, Interaction Flows","35, 16, 31",1,431,location,"cause1,cause2",industry,summary
62,abhishek,singh,"Physics, Fundraising, Microsoft Office","36, 24, 5",5,115,location,"cause1,cause2",industry,summary
63,chad,walia,"Flexibility, Cloud Systems Administration, Online searches, java, Customer Service","46, 4, 38, 31, 31",5,439,location,"cause1,cause2",industry,summary
64,akshay,ann,"Content Management, Customer Service, Recordkeeping","43, 4, 22",5,478,location,"cause1,cause2",industry,summary
65,chad,mehrotra,"Toleration, Depreciation, Job Cost Reports","4, 49, 26",2,197,location,"cause1,cause2",industry,summary
66,nishant,nagpal,"Cloud Applications, Banking, Account Analysis, Accuracy","10, 20, 27, 8",9,184,location,"cause1,cause2",industry,summary
67,mark,mehrotra,"Hadoop, Hair Styling, Checking Account Deposit","47, 45, 32",5,434,location,"cause1,cause2",industry,summary
68,abhishek,gandhi,"Decision Making, People Oriented, Management","12, 40, 25",3,302,location,"cause1,cause2",industry,summary
69,himani,wartney,"Accounting Software, Payroll, Production Coordinator, Principal Concept Knowledge","16, 23, 9, 41",6,123,location,"cause1,cause2",industry,summary
70,lisa,dangelo,"Photoshop, Public Relations, Multitasking, Service Writing, Events Manager","15, 39, 45, 15, 18",6,137,location,"cause1,cause2",industry,summary
71,rohit,parker,"Identifying Audience, Content Strategy, Cross Sales of Service, Project Management","27, 19, 23, 50",1,380,location,"cause1,cause2",industry,summary
72,mark,parker,"Recommendations, Attending Classes, Copy Editing","40, 10, 24",8,403,location,"cause1,cause2",industry,summary
73,adam,dangelo,"Organizing, Content Promotion, Big Data, J2EE","15, 22, 28, 11",8,24,location,"cause1,cause2",industry,summary
74,adam,dangelo,"Skin Care, Design, Scalp Treatment, Journalist Ethics, Technical","16, 13, 1, 46, 39",1,232,location,"cause1,cause2",industry,summary
75,dave,singh,"Tax Software, Ordering, Income Tax, Business Awareness","6, 17, 27, 47",8,395,location,"cause1,cause2",industry,summary
76,rahul,nagpal,"Brand Ambassador, Usability, Computer","34, 19, 21",8,393,location,"cause1,cause2",industry,summary
77,rohit,gandhi,"Assertiveness, Content Strategy, Communication, Pedicures, Email Marketing","12, 46, 39, 37, 23",5,163,location,"cause1,cause2",industry,summary
78,nishant,wartney,"Interest Calculations, Remembering Facts, html5","49, 46, 38",5,282,location,"cause1,cause2",industry,summary
79,mark,dangelo,"Kitchen Management, Assertiveness, Accounting Software, Analytical","21, 40, 11, 13",7,375,location,"cause1,cause2",industry,summary
80,chad,parker,"Exercising Discretion, Decision Trees, Finance, Public Relations","42, 17, 50, 49",2,80,location,"cause1,cause2",industry,summary
81,abhijeet,dangelo,"Editing , Team Building, Food Pricing","47, 40, 20",10,112,location,"cause1,cause2",industry,summary
82,abhijeet,arora,"Algorithms, matlab, Business Awareness, Creative Director, Jquery","38, 34, 1, 17, 28",8,269,location,"cause1,cause2",industry,summary
83,ashima,sherawat,"Customer Service, Accounting Information Systems, WordPress, Cloud Based Visualizations","31, 47, 31, 19",4,59,location,"cause1,cause2",industry,summary
84,kendra,bhatnagar,"Problem Solving, Agile Project Methodology, Food Science, Product Development Manager","20, 8, 5, 15",5,62,location,"cause1,cause2",industry,summary
85,abhishek,arora,"Microsoft Office, Initiative, Business Acumen","10, 3, 35",4,35,location,"cause1,cause2",industry,summary
86,himani,dangelo,"Engine Repair, Cloud Systems Administration, Journalist Ethics, J2EE","20, 45, 14, 36",9,430,location,"cause1,cause2",industry,summary
87,sid,gandhi,"Oil Change, Shampooing Hair, Retail Footwear Buyer, Cloud Applications, Business Sense","15, 39, 6, 4, 49",1,443,location,"cause1,cause2",industry,summary
88,abhijeet,wartney,"Handling Criticism Calmly, Language, Excel","28, 30, 45",9,448,location,"cause1,cause2",industry,summary
89,rohit,gandhi,"Written Communication, Numerical Analysis, Deposits, Bilingual","22, 32, 20, 39",9,329,location,"cause1,cause2",industry,summary
90,mia,bhatnagar,"Big Data, Production Assistant, Paychex","19, 18, 16",8,418,location,"cause1,cause2",industry,summary
91,lisa,kapoor,"Banquet, Financial Statements, Public Speaking, Service Writing","39, 48, 2, 8",5,443,location,"cause1,cause2",industry,summary
92,nishant,gandhi,"Product Planner, Debt Management, Organization, Audit Schedules","44, 19, 15, 32",3,392,location,"cause1,cause2",industry,summary
93,nishant,mehrotra,"Cloud Systems Administration, Creative, Banquet, Food Pricing","44, 29, 21, 22",9,65,location,"cause1,cause2",industry,summary
94,rohit,roy,"Technology, Chart of Accounts, Hosting Virtualization Platforms","23, 38, 46",1,344,location,"cause1,cause2",industry,summary
95,abhijeet,bhatnagar,"Hosting Virtualization Platforms, Code Management and Promotion Tools, Inventory Management, Public Relations, Ingredient Selection","5, 50, 46, 25, 1",9,350,location,"cause1,cause2",industry,summary
96,abhijeet,wartney,"Service Advising, Microsoft Office, Decision Making, Motivation, Curated Merchant","18, 34, 16, 12, 32",9,404,location,"cause1,cause2",industry,summary
97,chad,kapoor,"Accuracy, Conduct tests and inspections, Pedicures","31, 20, 45",1,334,location,"cause1,cause2",industry,summary
98,simar,parker,"Email Marketing, Directing Customers, Concepts, Time Efficient, Cloud Based Visualizations","50, 35, 48, 14, 25",10,280,location,"cause1,cause2",industry,summary
99,ashima,walia,"Computer Programs, Analytical, Cloud Based Visualizations","1, 5, 28",5,277,location,"cause1,cause2",industry,summary
100,adam,gandhi,"Banking, Withdrawals, Identifying Theme, Inventory Management","44, 42, 13, 15",9,420,location,"cause1,cause2",industry,summary
101,mark,parker,"Assertiveness, Hygiene, Agile Development","29, 34, 42",4,264,location,"cause1,cause2",industry,summary
102,ashima,arora,"MS Access, Problem Solving, Analysis, public speaking, Photoshop","41, 7, 2, 31, 44",8,284,location,"cause1,cause2",industry,summary
103,dave,arora,"Data Tools, Questioning Others, Coding, Recommendations, Big Data","49, 39, 30, 18, 39",6,413,location,"cause1,cause2",industry,summary
104,kendra,bhatnagar,"Monthly Closes, Problem Solving, Content Review","17, 50, 23",6,270,location,"cause1,cause2",industry,summary
105,mia,bhatnagar,"Computer, Project Management, iOS, Metrics","26, 25, 43, 34",1,438,location,"cause1,cause2",industry,summary
106,dave,kapoor,"Sales, Bank Deposits, Payroll Taxes, Metrics, Directing Customers","1, 40, 45, 47, 39",8,438,location,"cause1,cause2",industry,summary
107,adam,bhatnagar,"Ingredient Selection, Business Storytelling, Cloud Based Visualizations, Project Management, Event Planner","5, 19, 43, 27, 28",6,18,location,"cause1,cause2",industry,summary
108,kendra,arora,"Fundraising, Proposal Writing, Report Writing, Empathy","45, 38, 3, 15",9,43,location,"cause1,cause2",industry,summary
109,simar,parker,"Data Modeling, Customer Service Representative, Depreciation, Screening Calls, Decision Making","38, 31, 36, 11, 20",4,239,location,"cause1,cause2",industry,summary
110,abhishek,nagpal,"Hotel Kitchen, Image Management, Tax Analysis, Team Player, Oral Communication","12, 38, 47, 36, 29",6,177,location,"cause1,cause2",industry,summary
111,tiffany,sherawat,"Screening Calls, Optimization, html5","42, 36, 2",3,260,location,"cause1,cause2",industry,summary
112,mia,dangelo,"Bank Reconciliations, Federal Tax Law, Written Communication, Digital Media","42, 44, 14, 40",10,280,location,"cause1,cause2",industry,summary
113,priya,walia,"Engagement, Principal Concept Knowledge, Industrial Control Systems, Establishing purpose","50, 43, 42, 26",1,156,location,"cause1,cause2",industry,summary
114,priya,kapoor,"Bedding Designer, Credits, Accuracy, Electrical Schematics, Big Data","13, 16, 18, 42, 21",10,53,location,"cause1,cause2",industry,summary
115,himani,mehrotra,"Content Promotion, Communication, Financial Statement Analysis","4, 16, 14",6,328,location,"cause1,cause2",industry,summary
116,simar,parker,"Google Analytics, Customer Service, Ingredient Selection, Test Building Materials","11, 13, 23, 31",10,112,location,"cause1,cause2",industry,summary
117,akshay,ann,"Microsoft Office, Proposal Writing, Flexibility, Hair Styling, Publications","20, 48, 22, 24, 46",5,115,location,"cause1,cause2",industry,summary
118,varun,wartney,"Digital Media, Photography, Recordkeeping, Personal Shopper, Cloud Based Visualizations","42, 25, 8, 17, 6",10,162,location,"cause1,cause2",industry,summary
119,kendra,sherawat,"Accounting Processes, Cosmetics Consulting, Poise","29, 11, 10",4,444,location,"cause1,cause2",industry,summary
120,ashima,roy,"Project Management, Cloud Applications, Retail Buyer, Microsoft Office","5, 9, 14, 24",1,209,location,"cause1,cause2",industry,summary
121,varun,rai,"Reporting, Remembering Facts, Mathematical, First Aid","25, 37, 17, 11",1,59,location,"cause1,cause2",industry,summary
122,lisa,dangelo,"Editing , Decision Making, HP, Establishing Tone","31, 48, 40, 50",2,275,location,"cause1,cause2",industry,summary
123,simar,mehrotra,"Commitment, Troubleshooting Abilities, Brake Resurfacing, Report Writing","1, 40, 33, 26",6,334,location,"cause1,cause2",industry,summary
124,lisa,sherawat,"Depreciation, Scheduling, Analysis, Evaluating Emerging Digital Technology Tools, HP","15, 30, 2, 3, 13",3,358,location,"cause1,cause2",industry,summary
125,dave,wartney,"Debt Management, Analytical, Decision Making, Java, Paychex","14, 50, 12, 39, 23",10,303,location,"cause1,cause2",industry,summary
126,simar,bhatnagar,"IT Knowledge, Bilingual, Integrating Security Protocols with Cloud Design, Data Science Tools, Evaluating Options and Ordering Equipment and Tools","38, 36, 23, 17, 36",5,62,location,"cause1,cause2",industry,summary
127,tiffany,arora,"Training, Networking, Cash Receipts","28, 9, 31",2,354,location,"cause1,cause2",industry,summary
128,sid,walia,"WordPress, Digital Media, Flexibility, Deployment of Cloud Services","19, 8, 13, 16",1,273,location,"cause1,cause2",industry,summary
129,dave,arora,"Audits, Finance, Jquery, Team Player","18, 41, 34, 24",2,442,location,"cause1,cause2",industry,summary
130,sid,arora,"Interaction Design, Hair Styling, Tax Law","17, 5, 17",4,253,location,"cause1,cause2",industry,summary
131,tiffany,walia,"ECL, Tax Analysis, Retail Fashion Recruiter, Time Management, Trial Balancing","26, 24, 37, 21, 13",8,35,location,"cause1,cause2",industry,summary
132,mark,kapoor,"MS Excel, Personal Shopper, Accuracy, Depersonalization, Big Data","28, 48, 37, 26, 29",6,389,location,"cause1,cause2",industry,summary
133,sid,rai,"Oracle, Associate Designer, Service, Debt Management","29, 9, 22, 15",9,382,location,"cause1,cause2",industry,summary
134,priya,mehrotra,"Financial Service Recognition, Cloud Hosting Services, Numerical Competence, Problem Solving, Critical Thinking","13, 10, 7, 21, 32",4,393,location,"cause1,cause2",industry,summary
135,priya,bhatnagar,"Networking, Preparing Written Documents, Cost Control, Payroll Taxes","47, 48, 23, 46",1,462,location,"cause1,cause2",industry,summary
136,kendra,dangelo,"Account Analysis, Design, Photoshop, Engagement, html","28, 23, 42, 34, 39",8,343,location,"cause1,cause2",industry,summary
137,abhishek,roy,"Editing , Online searches, Banking Software, Agile Development, Tax Law","8, 23, 44, 30, 26",8,51,location,"cause1,cause2",industry,summary
138,varun,kapoor,"Hosting Virtualization Platforms, Health and Safety, Remembering Facts, Interpersonal","26, 31, 38, 8",7,32,location,"cause1,cause2",industry,summary
139,mia,nagpal,"Hotel Kitchen, Algorithmic, Accounting Information Systems","10, 42, 43",9,68,location,"cause1,cause2",industry,summary
140,himani,kapoor,"Service, Decision Making, Drawing Consensus, Empathy, PowerPoint","50, 13, 2, 47, 24",6,463,location,"cause1,cause2",industry,summary
141,ashima,mehrotra,"Reading Volumes, leadership, Team Building","23, 27, 42",7,473,location,"cause1,cause2",industry,summary
142,mia,dangelo,"Training, Big Data, Proofreading, Integrating Security Protocols with Cloud Design, Problem Analysis","30, 15, 23, 20, 20",8,94,location,"cause1,cause2",industry,summary
143,mark,rai,"Accuracy, Verbal Communication, Attention to Detail","38, 45, 38",4,222,location,"cause1,cause2",industry,summary
144,priya,gandhi,"Debt Management, Team Player, Electrical Schematics, Investigation, Microsoft Office","22, 3, 38, 29, 23",8,373,location,"cause1,cause2",industry,summary
145,akshay,wartney,"APIs, Cloud Applications, Balance Allocation, Agile Project Methodology, Python","35, 32, 21, 31, 10",7,378,location,"cause1,cause2",industry,summary
146,mia,wartney,"Map Reading, Management, Cash Drawer Maintenance, Information Architecture","22, 18, 24, 26",6,138,location,"cause1,cause2",industry,summary
147,varun,sherawat,"Language, Job Cost Reports, Report Writing, Product Knowledge","38, 3, 19, 3",6,377,location,"cause1,cause2",industry,summary
148,lisa,nagpal,"Personal Interaction, Diplomacy, Overseeing Operation, Remembering Facts","43, 5, 36, 11",7,379,location,"cause1,cause2",industry,summary
149,simar,walia,"Cash Drawer Maintenance, CSS, Google Analytics","40, 17, 32",6,136,location,"cause1,cause2",industry,summary
150,priya,roy,"ADP, Hotel Kitchen, Establishing Procedures, Curated Merchant, Complaints","23, 12, 43, 17, 35",3,354,location,"cause1,cause2",industry,summary
151,mia,bhatnagar,"Accuracy, Forecasts, Recordkeeping, Hiring","42, 45, 50, 48",6,460,location,"cause1,cause2",industry,summary
152,priya,nagpal,"Tax Software, Technical, Big Data, Organizational","42, 41, 6, 46",9,333,location,"cause1,cause2",industry,summary
153,lisa,dangelo,"Fixed Assets, Accounts Receivable, Skin Care","44, 39, 9",1,256,location,"cause1,cause2",industry,summary
154,rahul,mehrotra,"Data Entry, Research and Development Manager, Organizational","18, 11, 20",5,148,location,"cause1,cause2",industry,summary
155,ashima,mehrotra,"Brake Repair, Technical Support, Usability","28, 4, 6",8,306,location,"cause1,cause2",industry,summary
156,priya,ann,"Buyer, Product Planner, Data Entry, Graphic Artist, Food Preparation","27, 7, 11, 22, 14",2,151,location,"cause1,cause2",industry,summary
157,lisa,gandhi,"Business Acumen, Cloud Applications, Kitchen Management, Explaining Scope of Work to Stakeholders, Identifying Audience","22, 30, 33, 4, 20",9,240,location,"cause1,cause2",industry,summary
158,priya,kapoor,"Questioning Others, Journalist Ethics, Cash Drawer Maintenance","17, 22, 33",2,54,location,"cause1,cause2",industry,summary
159,sid,mehrotra,"Data Modeling, HTML, Excel, Diplomacy","19, 29, 28, 11",9,439,location,"cause1,cause2",industry,summary
160,abhishek,kapoor,"Deployment Automation Tools, Bank Deposits, Journalist Ethics, Formatting, JavaScript","9, 34, 22, 10, 16",4,228,location,"cause1,cause2",industry,summary
161,mia,wartney,"Data Mining, Payroll Taxes, Ingredient Selection, Financial Reporting, Poise","18, 15, 14, 28, 22",10,214,location,"cause1,cause2",industry,summary
162,abhishek,bhatnagar,"Balance Sheets, Interpersonal Skills, cloud","47, 37, 13",7,498,location,"cause1,cause2",industry,summary
163,akshay,bhatnagar,"Journalist Ethics, Baking, Factory Manager, Interpersonal Skills, Cash Drawer Maintenance","20, 5, 12, 21, 23",7,320,location,"cause1,cause2",industry,summary
164,adam,parker,"Cost Control, Information Architecture, General Auto Repair, Tax Law, C++","50, 25, 37, 25, 13",7,396,location,"cause1,cause2",industry,summary
165,varun,bhatnagar,"Financial Service Recognition, WordPress, Proposal Writing, Creativity, Engine Repair","6, 19, 6, 42, 14",8,369,location,"cause1,cause2",industry,summary
166,rahul,nagpal,"Research and Development Manager, Build, Manage and Monitor Cloud Environments, Content Management","4, 23, 25",4,59,location,"cause1,cause2",industry,summary
167,chad,nagpal,"Account Reconciliation, Electrical Installations, Multitasking, Auto Body Repair","38, 24, 45, 11",5,461,location,"cause1,cause2",industry,summary
168,ashima,ann,"MS Word, Collections, First Aid, Customer Service","50, 28, 34, 20",6,308,location,"cause1,cause2",industry,summary
169,mia,ann,"Editing, Team Building, Content Management, Cloud Maintenance Tasks, Collaboration","3, 50, 36, 41, 48",8,356,location,"cause1,cause2",industry,summary
170,rohit,kapoor,"Annual Reports, Data Mining, Concepts, Communication","31, 30, 49, 32",9,429,location,"cause1,cause2",industry,summary
171,adam,rai,"Business Acumen, Concepts, MS Word","45, 36, 5",4,374,location,"cause1,cause2",industry,summary
172,simar,kapoor,"Cloud Based Visualizations, Sketching, ECL","20, 30, 43",1,294,location,"cause1,cause2",industry,summary
173,varun,arora,"Motivation, Cost Control, Forecasts, Analytical, Food Preparation","8, 32, 1, 20, 49",8,159,location,"cause1,cause2",industry,summary
174,rohit,wartney,"Sales, Content Promotion, Accounts Receivable, Planning","23, 11, 14, 10",8,316,location,"cause1,cause2",industry,summary
175,nishant,kapoor,"Towing, Production Sourcing Director, Verifications, Journal Entry Preparation/Posting, Decision Making","48, 45, 27, 41, 10",6,200,location,"cause1,cause2",industry,summary
176,varun,wartney,"Customer Care, Content Promotion, Establishing Tone, Google Cloud, Budgeting","49, 10, 50, 14, 24",3,89,location,"cause1,cause2",industry,summary
177,himani,nagpal,"Initiative, Excel, Agile Development, Business Storytelling","32, 28, 26, 19",10,66,location,"cause1,cause2",industry,summary
178,mia,bhatnagar,"Email Marketing, Skin Care, Recommendations, Agile Development, Presenting Proposals to Colleagues","22, 13, 19, 45, 45",7,93,location,"cause1,cause2",industry,summary
179,sid,singh,"Algorithmic, Payroll, Financial Service Recognition","47, 32, 25",3,375,location,"cause1,cause2",industry,summary
180,kendra,ann,"Business Sense, Associate Designer, Programming Web Pages","26, 42, 33",8,437,location,"cause1,cause2",industry,summary
181,abhijeet,walia,"Screening Calls, Online searches, Time Efficient, Trial Balancing","32, 8, 4, 30",5,13,location,"cause1,cause2",industry,summary
182,sid,gandhi,"Bank Reconciliations, Retail Fashion Recruiter, Cloud Applications, Personal Shopper","23, 23, 45, 12",4,354,location,"cause1,cause2",industry,summary
183,priya,wartney,"Positive Attitude, Sales, Programming Web Pages, ECL","14, 35, 26, 31",6,83,location,"cause1,cause2",industry,summary
184,simar,roy,"Training, Analytical, Organizational, Automated Deployment, Payroll Liabilities","16, 32, 36, 44, 7",8,401,location,"cause1,cause2",industry,summary
185,sid,mehrotra,"Screening Calls, Agile Development, Public Speaking, Test Building Materials","4, 4, 29, 44",8,451,location,"cause1,cause2",industry,summary
186,himani,kapoor,"Analytics, Decision Making, Asset Management","14, 33, 18",5,184,location,"cause1,cause2",industry,summary
187,adam,walia,"Credits, Credit Management, Customer Relations","41, 9, 45",7,286,location,"cause1,cause2",industry,summary
188,abhishek,kapoor,"Pedicures, ECL, Accounts Payable","32, 31, 29",6,165,location,"cause1,cause2",industry,summary
189,mark,singh,"Public Speaking, Account Reconciliation, Techniques, Copy writing","1, 44, 27, 46",7,95,location,"cause1,cause2",industry,summary
190,nishant,kapoor,"Interest Calculations, D3.js, Personal Shopper, Baking, Collaboration","36, 49, 48, 16, 1",3,316,location,"cause1,cause2",industry,summary
191,sid,parker,"Hair Cutting, Cost Control, Recommendations, Evaluating Options and Ordering Equipment and Tools","25, 20, 28, 28",4,161,location,"cause1,cause2",industry,summary
192,mia,rai,"Mock Ups, Project Management, Buyer","36, 2, 27",3,135,location,"cause1,cause2",industry,summary
193,dave,parker,"Withdrawals, HTML, Documenting, Rebuild Parts, Public Speaking","13, 37, 22, 33, 24",3,283,location,"cause1,cause2",industry,summary
194,abhijeet,dangelo,"AWS, Accounting Principles, Toleration, Hygiene","46, 10, 49, 28",9,439,location,"cause1,cause2",industry,summary
195,abhijeet,mehrotra,"Hair Cutting, Motivation, Networking","7, 13, 13",8,287,location,"cause1,cause2",industry,summary
196,nishant,nagpal,"WordPress, Teamwork, Technical","22, 45, 50",8,98,location,"cause1,cause2",industry,summary
